Id,Label,casa,pageranks
1,HARRY,Gryffindor,0.136144
2,HERMIONE,Gryffindor,0.048922
3,RON WEASLEY,Gryffindor,0.057182
4,HAGRID,Hogwarts Staff,0.055127
5,NEVILLE,Gryffindor,0.027229
6,QUIRRELL,Hogwarts Staff,0.020914
10,DUMBLEDORE,Hogwarts Staff,0.032076
11,LILIAN POTTER,Gryffindor,0.011099
12,SNAKE,Criatura,0.006015
15,DORIS,Beco diagonal,0.006015
16,DRACO MALFOY,Slytherin,0.032725
17,THE FAT LADY,Gryffindor,0.006673
18,MRS. WEASLEY,Gryffindor,0.016962
19,SEVERUS SNAPE,Slytherin,0.018392
21,FIRENZE,Centauro,0.018397
24,GRIPHOOK,Goblin,0.008618
25,GOBLIN,Goblin,0.008618
26,PROFESSOR FLITWICK,Hogwarts Staff,0.011944
27,FRED WEASLEY,Gryffindor,0.026554
28,GINNY,Gryffindor,0.016962
29,GEORGE WEASLEY,Gryffindor,0.023976
30,DUDLEY,Trouxa,0.015001
31,UNCLE VERNON,Trouxa,0.015001
32,PERCY,Gryffindor,0.02048
33,VOLDEMORT,Slytherin,0.029247
34,TOM (BARTENDER),Beco diagonal,0.008618
35,FILCH,Hogwarts Staff,0.020932
37,AUNT PETUNIA,Trouxa,0.015001
38,OLLI,Beco diagonal,0.006015
39,MCGONAGALL,Gryffindor,0.03588
41,OLIVER WOOD,Gryffindor,0.012122
42,PEDRO PETTIGREW,Gryffindor,0.010776
43,CRABBE,Slytherin,0.011928
44,GOYLE,Slytherin,0.011928
45,SELECTOR HAT,Hogwarts Staff,0.019461
46,SUSAN,Hufflepuff,0.008498
47,SIMAS,Gryffindor,0.016374
48,THOMAS,Gryffindor,0.009572
49,MADAME HOOCH,Hogwarts Staff,0.013629
50,LINO JORDAN,Gryffindor,0.016629
51,ANGELINA JOHNSON,Gryffindor,0.007909
52,FLUFFY,Criatura,0.015867
53,JAMES POTTER,Gryffindor,0.015867
54,NEARLY HEADLESS NICK,Fantasma,0.014258
55,WILL THEAKSTON,Slytherin,0.006015
56,JAMIE YEATES,Slytherin,0.020952
57,ADRIAN PUCEY,Slytherin,0.006754
