Source,Target,Type,Weight
10,39,,1
4,10,,1
4,39,,1
37,30,,1
37,1,,1
31,30,,1
31,37,,1
1,30,,1
1,37,,1
12,1,,1
4,37,,1
4,1,,1
4,30,,1
4,31,,1
34,1,,1
34,4,,1
15,1,,1
6,1,,1
4,6,,1
25,1,,1
25,4,,1
24,1,,1
24,4,,1
38,1,,1
4,33,,1
1,33,,1
11,1,,1
4,11,,1
18,1,,1
18,29,,1
18,27,,1
28,1,,1
27,29,,1
28,29,,1
28,3,,1
28,27,,1
28,18,,1
3,18,,1
3,27,,1
3,29,,1
3,1,,1
2,1,,1
2,3,,1
42,3,,1
42,2,,1
42,1,,1
4,3,,1
5,39,,1
16,1,,1
43,1,,1
44,1,,1
39,16,,1
2,39,,1
39,10,,1
2,3,,1
39,45,,1
45,16,,1
1,2,,1
1,3,,1
45,1,,1
45,3,,1
39,10,,1
23,19,,1
32,1,,1
3,5,,1
2,5,,1
17,32,,1
3,1,,1
39,3,,1
1,39,,1
19,1,,1
19,23,,1
1,3,,1
2,5,,1
1,3,,1
1,16,,1
2,1,,1
16,1,,1
39,1,,1
39,6,,1
39,41,,1
5,3,,1
1,27,,1
29,1,,1
3,1,,1
2,1,,1
1,3,,1
3,1,,1
2,1,,1
1,3,,1
1,2,,1
3,2,,1
2,3,,1
3,2,,1
1,2,,1
2,3,,1
1,3,,1
41,1,,1
1,41,,1
2,3,,1
26,2,,1
1,26,,1
3,1,,1
3,2,,1
1,3,,1
5,1,,1
1,3,,1
2,1,,1
2,3,,1
1,3,,1
39,1,,1
39,3,,1
2,39,,1
39,6,,1
3,1,,1
2,1,,1
19,1,,1
1,2,,1
2,1,,1
3,1,,1
1,3,,1
41,1,,1
4,2,,1
3,2,,1
19,1,,1
1,4,,1
3,4,,1
4,2,,1
1,4,,1
1,3,,1
1,2,,1
3,1,,1
1,3,,1
35,6,,1
19,6,,1
1,3,,1
10,1,,1
2,3,,1
2,1,,1
4,3,,1
1,4,,1
2,4,,1
39,16,,1
39,1,,1
35,4,,1
2,4,,1
16,35,,1
3,4,,1
1,16,,1
21,1,,1
4,21,,1
1,2,,1
3,1,,1
3,2,,1
4,1,,1
39,1,,1
19,2,,1
5,1,,1
5,2,,1
35,10,,1
35,1,,1
35,2,,1
35,3,,1
1,3,,1
1,2,,1
1,6,,1
1,33,,1
6,1,,1
33,1,,1
10,1,,1
1,3,,1
1,2,,1
10,1,,1
10,3,,1
10,2,,1
10,5,,1
10,16,,1
1,4,,1
5,47,,1
45,2,,1
45,46,,1
46,39,,1
47,48,,1
48,5,,1
49,1,,1
49,5,,1
41,39,,1
41,1,,1
49,50,,1
50,1,,1
51,50,,1
